wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
Fiji Hindi Wiktionary,661,22,33.7%,12.1%,0.0%,44,1,0,0,0.0%,0,0.0%,3,76.3%,0.0%,15.6%,12.5%,0.0%,0.00,0,"1,127",0,0,left-to-right,hifwiktionary,wiktionary,hif,https://hif.wiktionary.org,Fiji Hindi,Wiktionary,Fiji Hindi Wiktionary
Western Frisian Wikibooks,662,136,7.2%,10.8%,0.0%,0,3,0,0,0.0%,0,0.0%,11,0.0%,0.0%,0.0%,29.2%,10.2%,0.53,0,8,0,0,left-to-right,alswikibooks,wikibooks,he,https://als.wikibooks.org,Hebrew,Wikipedia,Western Frisian Wikibooks
Faroese Wikisource,662,758,13.1%,8.1%,0.0%,827,1,0,1,0.0%,0,0.0%,5,52.4%,0.0%,0.0%,5.9%,6.3%,0.61,0,74,441,6,left-to-right,pawikibooks,wikisource,gv,https://pa.wikibooks.org,Manx,Wiktionary,Faroese Wikisource
Fijian Wiktionary,662,0,19.6%,6.7%,0.0%,0,2,0,0,0.0%,0,0.0%,10,0.0%,0.9%,0.0%,11.1%,0.9%,0.56,0,"1,644",0,0,left-to-right,pmswikisource,wiktionary,sm,https://pms.wikisource.org,Samoan,Wikiquote,Fijian Wiktionary
Tswana Wiktionary,662,872,8.0%,5.0%,0.0%,0,2,0,0,0.0%,0,0.0%,12,60.8%,0.0%,0.0%,4.0%,0.0%,0.72,0,764,0,0,left-to-right,bnwikivoyage,wikipedia,cy,https://mo.wiktionary.org,Tigrinya,Wikipedia,Tswana Wiktionary
Tajik Wikibooks,662,0,36.9%,3.7%,0.0%,0,2,2,0,2.4%,0,0.0%,8,0.0%,2.1%,1.2%,26.7%,0.0%,0.66,0,"2,567",0,0,left-to-right,lfnwiki,wikibooks,tpi,https://lfn.wikipedia.org,Tok Pisin,Wikipedia,Tajik Wikibooks
Pali Wikipedia,662,23,12.7%,7.7%,0.0%,0,3,0,1,2.9%,0,0.0%,25,0.0%,14.1%,0.0%,5.9%,0.0%,0.80,0,313,0,0,left-to-right,inhwiki,wikinews,tn,https://bn.wikivoyage.org,Welsh,Wikisource,Pali Wikipedia
Tigrinya Wiktionary,662,0,9.7%,2.9%,0.0%,0,1,2,0,0.0%,0,0.0%,3,4.1%,0.0%,0.4%,5.6%,1.3%,0.42,0,5,0,0,left-to-right,omwiktionary,wikiquote,fi,https://eu.wikisource.org,Pali,Wiktionary,Tigrinya Wiktionary
Tok Pisin Wiktionary,662,0,6.5%,26.3%,0.0%,0,1,1,0,0.0%,0,0.0%,3,0.0%,13.3%,0.2%,6.3%,3.3%,0.36,0,"1,341",0,0,left-to-right,gorwiki,wiktionary,tg,https://gor.wikipedia.org,Tajik,Wikipedia,Tok Pisin Wiktionary
Finnish Wikinews,662,0,26.2%,6.3%,0.0%,"1,047",1,1,0,0.0%,0,0.0%,1,0.5%,1.3%,0.0%,20.0%,1.3%,0.34,0,335,"1,895",6,left-to-right,euwikisource,wiktionary,pi,https://inh.wikipedia.org,Tswana,Wiktionary,Finnish Wikinews
