wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
English Wikipedia,1,"696,456,562",64.1%,47.2%,1.8%,"5,172","134,670","31,661",1650,21.8%,"5,912",6.4%,"4,180,341",16.6%,9.6%,4.6%,19.8%,12.5%,0.95,0,"5,673,696","501,038,078",88,left-to-right,enwiki,wikipedia,en,https://en.wikipedia.org,English,Wikipedia,English Wikipedia
Spanish Wikipedia,2,"139,841,120",63.9%,56.7%,0.8%,"7,992","17,497","4,280",188,22.8%,"1,020",4.2%,"561,415",22.7%,15.5%,9.6%,31.6%,18.6%,0.96,0,"1,426,356","68,501,562",48,left-to-right,eswiki,wikipedia,es,https://es.wikipedia.org,Spanish,Wikipedia,Spanish Wikipedia
German Wikipedia,3,"92,964,352",54.4%,41.9%,5.0%,"4,696","19,795","5,577",484,12.0%,501,6.8%,"794,248",11.5%,3.0%,7.1%,10.1%,9.4%,0.96,0,"2,194,921","104,154,896",47,left-to-right,dewiki,wikipedia,de,https://de.wikipedia.org,German,Wikipedia,German Wikipedia
Japanese Wikipedia,4,"84,374,000",68.6%,57.4%,0.9%,"6,323","13,345","4,594",92,21.2%,744,10.4%,"344,452",5.5%,15.6%,8.8%,26.3%,7.0%,0.93,0,"1,111,332","51,231,382",46,left-to-right,jawiki,wikipedia,ja,https://ja.wikipedia.org,Japanese,Wikipedia,Japanese Wikipedia
French Wikipedia,5,"76,052,837",57.2%,47.2%,1.8%,"4,187","18,166","4,946",279,15.7%,783,6.9%,"705,548",24.3%,6.6%,13.3%,14.9%,7.1%,0.96,"3,053","1,996,841","81,828,624",41,left-to-right,frwiki,wikipedia,fr,https://fr.wikipedia.org,French,Wikipedia,French Wikipedia
Russian Wikipedia,6,"82,848,954",56.8%,40.1%,1.2%,"7,157","11,577","3,412",609,18.8%,496,6.3%,"482,160",20.4%,5.9%,12.0%,19.9%,9.2%,0.96,8,"1,480,816","53,871,124",36,left-to-right,ruwiki,wikipedia,ru,https://ru.wikipedia.org,Russian,Wikipedia,Russian Wikipedia
Wikimedia Commons,7,"24,160,830",44.4%,21.8%,0.0%,703,"34,390","9,848",186,8.7%,"2,313",2.0%,"2,844,182",41.0%,0.6%,0.1%,1.1%,1.9%,0.98,2,"47,507,124","149,098,365",3,left-to-right,commonswiki,commons,en,https://commons.wikimedia.org,English,Wikimedia Commons,Wikimedia Commons
Italian Wikipedia,8,"47,468,420",66.1%,60.8%,2.2%,"5,357","8,861","2,563",161,27.6%,355,7.8%,"411,944",47.3%,13.3%,12.4%,28.4%,10.9%,0.96,0,"1,446,166","49,099,062",34,left-to-right,itwiki,wikipedia,it,https://it.wikipedia.org,Italian,Wikipedia,Italian Wikipedia
Chinese Wikipedia,9,"33,209,574",64.1%,40.0%,1.2%,"4,187","7,931","2,690",142,21.5%,391,9.3%,"342,995",20.5%,12.5%,3.3%,21.7%,7.3%,0.96,"1,700","1,012,327","26,883,982",27,left-to-right,zhwiki,wikipedia,zh,https://zh.wikipedia.org,Chinese,Wikipedia,Chinese Wikipedia
Portuguese Wikipedia,10,"49,912,062",63.1%,57.3%,2.3%,"7,610","6,559","1,616",145,23.2%,333,4.6%,"256,814",6.1%,11.4%,14.8%,22.6%,11.2%,0.96,145,"1,001,522","26,961,422",27,left-to-right,ptwiki,wikipedia,pt,https://pt.wikipedia.org,Portuguese,Wikipedia,Portuguese Wikipedia
Polish Wikipedia,11,"23,993,169",54.0%,42.9%,0.8%,"5,571","4,307","1,273",122,12.3%,128,6.9%,"188,580",44.1%,3.5%,12.8%,12.2%,7.4%,0.96,223,"1,287,526","25,830,423",20,left-to-right,plwiki,wikipedia,pl,https://pl.wikipedia.org,Polish,Wikipedia,Polish Wikipedia
Dutch Wikipedia,12,"19,765,401",58.5%,47.5%,2.7%,"4,874","4,056","1,194",84,16.8%,169,4.7%,"154,989",24.8%,5.9%,2.3%,16.1%,11.4%,0.96,0,"1,935,027","23,902,534",12,left-to-right,nlwiki,wikipedia,nl,https://nl.wikipedia.org,Dutch,Wikipedia,Dutch Wikipedia
Arabic Wikipedia,13,"28,593,391",76.0%,71.4%,1.3%,"5,907","4,840",806,52,46.0%,247,3.8%,"116,382",74.6%,20.8%,11.6%,13.1%,17.1%,0.95,"1,221","582,090","8,764,910",15,right-to-left,arwiki,wikipedia,ar,https://ar.wikipedia.org,Arabic,Wikipedia,Arabic Wikipedia
Persian Wikipedia,14,"14,479,540",77.5%,69.1%,1.4%,"3,083","4,696","1,108",437,43.2%,355,5.8%,"107,440",65.2%,17.8%,12.8%,13.1%,14.1%,0.94,161,"631,916","6,451,132",10,right-to-left,fawiki,wikipedia,fa,https://fa.wikipedia.org,Persian,Wikipedia,Persian Wikipedia
Korean Wikipedia,15,"17,146,581",64.5%,53.7%,0.9%,"7,572","2,265",745,105,17.9%,177,7.3%,"147,764",32.8%,13.2%,7.0%,34.5%,8.9%,0.97,0,"420,433","11,982,943",29,left-to-right,kowiki,wikipedia,ko,https://ko.wikipedia.org,Korean,Wikipedia,Korean Wikipedia
Indonesian Wikipedia,16,"22,086,384",82.4%,74.4%,0.4%,"8,689","2,542",504,40,36.0%,168,3.0%,"48,072",40.8%,20.8%,12.5%,15.7%,11.7%,0.93,160,"433,312","4,289,951",10,left-to-right,idwiki,wikipedia,id,https://id.wikipedia.org,Indonesian,Wikipedia,Indonesian Wikipedia
Swedish Wikipedia,17,"10,876,896",61.9%,56.3%,2.3%,"3,928","2,769",665,81,17.1%,97,3.5%,"98,481",61.2%,5.7%,10.3%,13.1%,9.1%,0.96,0,"3,781,924","14,942,417",4,left-to-right,svwiki,wikipedia,sv,https://sv.wikipedia.org,Swedish,Wikipedia,Swedish Wikipedia
English Wiktionary,18,"15,853,064",59.0%,37.1%,0.0%,"10,448","1,517",455,43,20.2%,37,4.4%,"136,214",55.2%,4.9%,0.3%,12.2%,4.1%,0.98,0,"5,656,990","12,185,297",2,left-to-right,enwiktionary,wiktionary,en,https://en.wiktionary.org,English,Wiktionary,English Wiktionary
Ukrainian Wikipedia,19,"7,436,764",52.5%,44.7%,0.9%,"2,685","2,770",964,91,9.9%,172,7.7%,"160,249",13.4%,2.4%,7.9%,8.7%,4.1%,0.96,0,"798,524","11,109,294",14,left-to-right,ukwiki,wikipedia,uk,https://uk.wikipedia.org,Ukrainian,Wikipedia,Ukrainian Wikipedia
Wikidata,20,"1,594,193",54.2%,7.0%,0.0%,39,"18,783","8,292",46,8.6%,729,4.8%,"6,049,303",62.8%,0.3%,0.0%,1.0%,1.0%,0.99,"1,212","49,123,434","215,483,470",4,left-to-right,wikidatawiki,wikidata,en,https://www.wikidata.org,English,Wikidata,Wikidata
Czech Wikipedia,21,"7,462,648",48.6%,36.5%,1.2%,"3,500","2,132",600,45,11.5%,82,6.8%,"69,711",22.7%,4.4%,17.1%,12.3%,6.9%,0.96,0,"408,101","7,860,032",19,left-to-right,cswiki,wikipedia,cs,https://cs.wikipedia.org,Czech,Wikipedia,Czech Wikipedia
Hebrew Wikipedia,22,"5,009,082",63.0%,53.0%,2.6%,"1,715","2,920",883,73,22.0%,130,9.4%,"147,760",23.6%,8.2%,12.6%,11.9%,11.6%,0.96,223,"226,472","11,479,329",51,right-to-left,hewiki,wikipedia,he,https://he.wikipedia.org,Hebrew,Wikipedia,Hebrew Wikipedia
Vietnamese Wikipedia,23,"11,175,357",61.7%,54.8%,0.6%,"6,714","1,664",392,34,20.3%,77,5.3%,"77,759",93.3%,8.2%,11.4%,12.6%,7.0%,0.97,0,"1,178,346","8,043,358",7,left-to-right,viwiki,wikipedia,vi,https://vi.wikipedia.org,Vietnamese,Wikipedia,Vietnamese Wikipedia
Thai Wikipedia,24,"10,912,969",69.5%,64.4%,0.6%,"9,345","1,168",391,27,25.6%,89,6.8%,"48,489",4.8%,16.9%,11.1%,29.1%,10.4%,0.95,0,"125,033","3,845,554",31,left-to-right,thwiki,wikipedia,th,https://th.wikipedia.org,Thai,Wikipedia,Thai Wikipedia
Hungarian Wikipedia,25,"6,307,180",51.2%,45.2%,0.7%,"3,665","1,721",506,41,12.9%,60,5.1%,"75,978",22.8%,4.8%,8.9%,7.9%,5.5%,0.96,0,"433,206","9,308,025",21,left-to-right,huwiki,wikipedia,hu,https://hu.wikipedia.org,Hungarian,Wikipedia,Hungarian Wikipedia
Finnish Wikipedia,26,"6,013,645",60.2%,55.2%,1.7%,"3,451","1,742",475,46,22.4%,67,4.7%,"61,266",8.8%,6.8%,11.0%,16.8%,6.6%,0.96,15,"440,424","9,806,307",22,left-to-right,fiwiki,wikipedia,fi,https://fi.wikipedia.org,Finnish,Wikipedia,Finnish Wikipedia
Turkish Wikipedia,27,"9,810,079",65.7%,57.3%,1.3%,"11,147",880,209,23,20.7%,31,2.6%,"72,250",14.1%,2.2%,2.5%,4.4%,4.7%,0.98,0,"310,869","9,726,922",31,left-to-right,trwiki,wikipedia,tr,https://tr.wikipedia.org,Turkish,Wikipedia,Turkish Wikipedia
Norwegian Wikipedia,28,"5,209,296",60.4%,51.9%,0.9%,"3,467","1,502",366,44,14.5%,68,3.2%,"60,112",37.2%,4.3%,11.9%,12.0%,7.1%,0.97,155,"490,286","8,716,721",18,left-to-right,nowiki,wikipedia,no,https://no.wikipedia.org,Norwegian,Wikipedia,Norwegian Wikipedia
Romanian Wikipedia,29,"5,675,176",60.0%,55.3%,1.0%,"5,785",981,243,21,18.6%,53,5.4%,"32,526",64.1%,8.5%,11.3%,13.3%,7.2%,0.96,0,"387,264","3,819,198",10,left-to-right,rowiki,wikipedia,ro,https://ro.wikipedia.org,Romanian,Wikipedia,Romanian Wikipedia
Greek Wikipedia,30,"4,842,761",56.9%,49.9%,0.8%,"5,007",967,280,32,15.1%,51,6.1%,"42,795",7.3%,6.0%,16.5%,19.1%,10.5%,0.96,329,"148,295","3,903,302",26,left-to-right,elwiki,wikipedia,el,https://el.wikipedia.org,Greek,Wikipedia,Greek Wikipedia
Catalan Wikipedia,31,"2,589,641",50.6%,36.7%,0.8%,"1,742","1,487",463,40,8.4%,68,8.7%,"77,078",40.8%,2.4%,16.7%,6.7%,5.5%,0.96,749,"583,918","7,749,217",13,left-to-right,cawiki,wikipedia,ca,https://ca.wikipedia.org,Catalan,Wikipedia,Catalan Wikipedia
Simple English Wikipedia,32,"6,462,527",60.1%,54.1%,0.6%,"6,781",953,165,16,21.4%,54,2.0%,"26,881",18.0%,10.2%,14.6%,31.3%,18.6%,0.95,0,"135,054","2,476,948",18,left-to-right,simplewiki,wikipedia,simple,https://simple.wikipedia.org,Simple English,Wikipedia,Simple English Wikipedia
Hindi Wikipedia,33,"7,602,819",87.8%,86.4%,1.1%,"6,695","1,136",133,11,47.4%,39,3.3%,"24,654",6.1%,19.4%,6.6%,12.0%,9.5%,0.94,0,"125,567","1,202,579",10,left-to-right,hiwiki,wikipedia,hi,https://hi.wikipedia.org,Hindi,Wikipedia,Hindi Wikipedia
Serbian Wikipedia,34,"3,580,732",60.5%,52.8%,1.1%,"3,883",922,280,27,11.5%,57,10.6%,"94,125",84.7%,2.8%,1.2%,5.7%,3.0%,0.98,0,"608,159","5,556,175",9,left-to-right,srwiki,wikipedia,sr,https://sr.wikipedia.org,Serbian,Wikipedia,Serbian Wikipedia
Danish Wikipedia,35,"4,492,440",58.7%,50.8%,1.0%,"4,486","1,001",218,25,12.1%,38,3.9%,"28,648",24.6%,6.3%,13.6%,16.7%,7.7%,0.95,0,"238,536","4,099,586",17,left-to-right,dawiki,wikipedia,da,https://da.wikipedia.org,Danish,Wikipedia,Danish Wikipedia
French Wiktionary,36,"6,145,877",55.1%,46.0%,0.0%,"13,829",444,135,15,13.0%,5,3.6%,"43,425",35.8%,2.3%,2.8%,6.9%,3.0%,0.98,0,"3,310,305","5,438,937",2,left-to-right,frwiktionary,wiktionary,fr,https://fr.wiktionary.org,French,Wiktionary,French Wiktionary
Bulgarian Wikipedia,37,"3,065,986",55.6%,49.6%,0.5%,"3,604",851,240,25,14.6%,44,3.7%,"34,953",30.2%,4.6%,9.3%,17.3%,9.5%,0.96,0,"243,410","4,265,741",18,left-to-right,bgwiki,wikipedia,bg,https://bg.wikipedia.org,Bulgarian,Wikipedia,Bulgarian Wikipedia
English Wikibooks,38,"4,560,447",42.9%,33.1%,0.0%,"9,419",484,134,11,12.6%,35,7.7%,"13,451",10.0%,4.0%,6.2%,13.9%,8.8%,0.93,0,"80,480","2,067,274",26,left-to-right,enwikibooks,wikibooks,en,https://en.wikibooks.org,English,Wikibooks,English Wikibooks
Croatian Wikipedia,39,"3,839,759",59.6%,54.5%,0.5%,"7,369",521,143,13,18.1%,29,5.0%,"14,599",4.6%,10.1%,6.5%,18.2%,10.0%,0.94,0,"195,264","2,173,326",11,left-to-right,hrwiki,wikipedia,hr,https://hr.wikipedia.org,Croatian,Wikipedia,Croatian Wikipedia
English Wikiquote,40,"3,265,124",53.5%,39.7%,0.0%,"6,703",487,107,9,11.3%,14,1.8%,"12,463",1.9%,7.4%,1.8%,33.7%,9.2%,0.95,0,"31,836","1,782,964",56,left-to-right,enwikiquote,wikiquote,en,https://en.wikiquote.org,English,Wikiquote,English Wikiquote
Slovak Wikipedia,41,"2,422,097",50.0%,41.3%,0.7%,"4,452",544,142,12,11.6%,26,5.6%,"13,174",6.5%,6.2%,20.1%,19.7%,10.1%,0.94,0,"226,261","2,294,790",10,left-to-right,skwiki,wikipedia,sk,https://sk.wikipedia.org,Slovak,Wikipedia,Slovak Wikipedia
Russian Wiktionary,42,"5,848,911",58.6%,48.4%,0.0%,"30,046",195,57,7,24.8%,7,2.3%,"22,270",83.2%,2.4%,0.3%,5.7%,3.8%,0.98,0,"906,403","1,678,837",2,left-to-right,ruwiktionary,wiktionary,ru,https://ru.wiktionary.org,Russian,Wiktionary,Russian Wiktionary
Malay Wikipedia,43,"2,628,769",73.9%,57.4%,0.4%,"6,425",409,104,11,30.1%,26,5.2%,"20,820",25.6%,15.6%,9.1%,13.8%,3.7%,0.97,0,"316,927","1,475,302",5,left-to-right,mswiki,wikipedia,ms,https://ms.wikipedia.org,Malay,Wikipedia,Malay Wikipedia
Azerbaijani Wikipedia,44,"1,146,780",68.6%,59.5%,0.7%,"1,690",678,225,22,24.2%,44,10.0%,"30,952",0.5%,7.0%,12.2%,6.0%,5.7%,0.95,0,"136,187","1,902,424",14,left-to-right,azwiki,wikipedia,az,https://az.wikipedia.org,Azerbaijani,Wikipedia,Azerbaijani Wikipedia
Bangla Wikipedia,45,"1,199,789",82.7%,81.3%,1.3%,"1,400",857,187,16,48.9%,46,4.3%,"21,606",27.2%,21.7%,7.8%,7.3%,5.1%,0.94,0,"59,189","875,382",15,left-to-right,bnwiki,wikipedia,bn,https://bn.wikipedia.org,Bangla,Wikipedia,Bangla Wikipedia
German Wiktionary,46,"3,237,521",52.3%,42.4%,0.0%,"15,942",203,56,7,5.8%,3,7.0%,"21,290",53.1%,0.9%,1.0%,5.7%,2.1%,0.98,0,"699,569","2,127,304",3,left-to-right,dewiktionary,wiktionary,de,https://de.wiktionary.org,German,Wiktionary,German Wiktionary
Tamil Wikipedia,47,"880,831",69.6%,61.6%,1.5%,"1,778",495,185,12,17.4%,78,8.5%,"16,001",19.8%,6.9%,7.3%,5.3%,5.2%,0.90,0,"117,124","1,157,427",10,left-to-right,tawiki,wikipedia,ta,https://ta.wikipedia.org,Tamil,Wikipedia,Tamil Wikipedia
Estonian Wikipedia,48,"774,347",43.2%,26.0%,0.5%,"1,118",693,196,23,5.2%,50,17.9%,"28,813",1.2%,1.6%,18.2%,13.9%,2.8%,0.95,0,"176,929","2,485,449",14,left-to-right,etwiki,wikipedia,et,https://et.wikipedia.org,Estonian,Wikipedia,Estonian Wikipedia
Lithuanian Wikipedia,49,"1,470,966",50.6%,38.9%,0.3%,"3,935",374,100,10,11.1%,17,4.6%,"15,458",9.0%,3.1%,14.4%,13.2%,8.5%,0.96,0,"188,434","2,108,820",11,left-to-right,ltwiki,wikipedia,lt,https://lt.wikipedia.org,Lithuanian,Wikipedia,Lithuanian Wikipedia
Slovenian Wikipedia,50,"1,194,133",49.6%,38.1%,0.4%,"3,127",382,113,11,9.0%,19,5.9%,"10,252",11.4%,4.3%,22.9%,18.0%,6.9%,0.94,0,"161,579","1,874,886",12,left-to-right,slwiki,wikipedia,sl,https://sl.wikipedia.org,Slovenian,Wikipedia,Slovenian Wikipedia
Armenian Wikipedia,51,"493,239",49.7%,35.9%,0.4%,818,603,228,18,7.6%,32,16.5%,"38,060",26.5%,0.8%,15.8%,2.7%,5.6%,0.95,0,"242,210","1,827,492",8,left-to-right,hywiki,wikipedia,hy,https://hy.wikipedia.org,Armenian,Wikipedia,Armenian Wikipedia
English Wikivoyage,52,"512,402",51.0%,25.5%,0.0%,880,583,171,12,18.4%,26,3.1%,"20,765",19.8%,3.7%,5.6%,7.6%,3.9%,0.95,0,"28,454","2,612,428",92,left-to-right,enwikivoyage,wikivoyage,en,https://en.wikivoyage.org,English,Wikivoyage,English Wikivoyage
Serbo-Croatian Wikipedia,53,"2,143,932",56.4%,42.7%,0.4%,"9,271",231,39,6,12.0%,8,1.7%,"4,814",21.3%,7.8%,8.4%,24.5%,5.2%,0.95,0,"444,844","22,923,372",52,left-to-right,shwiki,wikipedia,sh,https://sh.wikipedia.org,Serbo-Croatian,Wikipedia,Serbo-Croatian Wikipedia
Polish Wiktionary,54,"1,939,654",51.5%,43.3%,0.0%,"17,370",112,42,4,6.0%,3,1.8%,"10,592",35.7%,1.0%,0.2%,8.5%,1.5%,0.96,0,"619,982","1,851,500",3,left-to-right,plwiktionary,wiktionary,pl,https://pl.wiktionary.org,Polish,Wiktionary,Polish Wiktionary
Cantonese Wikipedia,55,"833,342",34.5%,25.4%,1.5%,"3,574",233,94,10,12.7%,29,6.7%,"8,297",1.8%,5.0%,5.2%,16.4%,4.0%,0.93,0,"67,358","498,766",7,left-to-right,zh_yuewiki,wikipedia,zh-yue,https://zh-yue.wikipedia.org,Cantonese,Wikipedia,Cantonese Wikipedia
Kazakh Wikipedia,56,"1,418,031",73.7%,55.1%,0.3%,"5,557",255,50,8,10.7%,12,6.5%,"4,537",23.5%,3.8%,2.6%,1.4%,2.8%,0.94,1,"221,985","708,621",3,left-to-right,kkwiki,wikipedia,kk,https://kk.wikipedia.org,Kazakh,Wikipedia,Kazakh Wikipedia
English Wikisource,57,"890,925",46.8%,25.9%,0.0%,"2,610",341,74,15,6.5%,4,2.5%,"42,585",19.1%,0.5%,0.2%,0.9%,1.2%,0.97,0,"668,729","4,048,276",6,left-to-right,enwikisource,wikisource,en,https://en.wikisource.org,English,Wikisource,English Wikisource
Latvian Wikipedia,58,"651,415",44.7%,34.3%,0.3%,"2,255",289,88,13,8.8%,13,7.1%,"12,907",10.8%,3.7%,10.9%,8.5%,5.4%,0.96,27,"85,574","1,159,878",14,left-to-right,lvwiki,wikipedia,lv,https://lv.wikipedia.org,Latvian,Wikipedia,Latvian Wikipedia
English Wikiversity,59,"596,649",42.3%,30.6%,0.0%,"2,119",282,93,9,7.5%,20,13.6%,"8,811",33.8%,1.4%,11.5%,11.8%,6.0%,0.92,0,"25,294","759,411",30,left-to-right,enwikiversity,wikiversity,en,https://en.wikiversity.org,English,Wikiversity,English Wikiversity
Georgian Wikipedia,60,"725,439",47.2%,36.8%,0.6%,"2,778",261,72,8,11.7%,13,4.7%,"14,805",15.6%,1.6%,5.4%,5.1%,4.9%,0.97,0,"123,074","1,316,352",11,left-to-right,kawiki,wikipedia,ka,https://ka.wikipedia.org,Georgian,Wikipedia,Georgian Wikipedia
Tagalog Wikipedia,61,"1,719,803",59.1%,65.5%,0.2%,"14,106",122,30,7,15.3%,4,1.9%,"5,580",7.7%,11.8%,5.7%,19.4%,8.8%,0.97,0,"81,607","571,808",7,left-to-right,tlwiki,wikipedia,tl,https://tl.wikipedia.org,Tagalog,Wikipedia,Tagalog Wikipedia
Albanian Wikipedia,62,"822,684",70.4%,57.6%,0.4%,"3,268",252,59,11,23.3%,14,4.2%,"8,743",15.9%,5.9%,11.3%,15.6%,7.7%,0.95,0,"74,326","663,732",9,left-to-right,sqwiki,wikipedia,sq,https://sq.wikipedia.org,Albanian,Wikipedia,Albanian Wikipedia
Bosnian Wikipedia,63,"1,324,846",58.7%,47.3%,0.4%,"8,153",163,35,7,12.0%,6,4.9%,"7,912",13.9%,2.1%,4.9%,4.9%,3.9%,0.97,11,"77,472","697,064",9,left-to-right,bswiki,wikipedia,bs,https://bs.wikipedia.org,Bosnian,Wikipedia,Bosnian Wikipedia
Marathi Wikipedia,64,"701,415",77.5%,70.6%,1.6%,"2,806",250,64,6,33.7%,27,4.3%,"8,168",16.2%,19.5%,8.7%,5.3%,1.8%,0.94,0,"51,501","507,289",10,left-to-right,mrwiki,wikipedia,mr,https://mr.wikipedia.org,Marathi,Wikipedia,Marathi Wikipedia
Galician Wikipedia,65,"448,950",50.5%,26.1%,0.4%,"1,512",297,92,13,8.0%,10,9.4%,"24,136",26.5%,1.5%,6.9%,3.2%,2.0%,0.97,0,"149,283","2,148,159",14,left-to-right,glwiki,wikipedia,gl,https://gl.wikipedia.org,Galician,Wikipedia,Galician Wikipedia
Spanish Wiktionary,66,"1,629,278",61.1%,56.0%,0.0%,"15,704",104,25,4,18.1%,4,1.4%,"3,118",26.9%,12.6%,1.4%,26.1%,9.8%,0.95,0,"855,937","734,924",1,left-to-right,eswiktionary,wiktionary,es,https://es.wiktionary.org,Spanish,Wiktionary,Spanish Wiktionary
French Wikisource,67,"691,336",47.4%,27.5%,0.0%,"3,076",225,55,9,3.2%,2,10.3%,"49,478",8.7%,0.1%,0.4%,0.7%,0.5%,0.94,123,"326,916","4,384,509",13,left-to-right,frwikisource,wikisource,fr,https://fr.wikisource.org,French,Wikisource,French Wikisource
German Wikibooks,68,"1,048,685",40.0%,30.0%,0.0%,"9,710",108,35,3,5.3%,5,8.3%,"2,151",0.9%,5.3%,3.3%,23.3%,4.7%,0.91,0,"25,498","480,173",19,left-to-right,dewikibooks,wikibooks,de,https://de.wikibooks.org,German,Wikibooks,German Wikibooks
Basque Wikipedia,69,"311,490",35.2%,16.8%,0.4%,810,384,114,11,3.9%,18,21.9%,"17,850",39.3%,1.7%,14.7%,5.2%,2.9%,0.96,0,"294,956","1,387,647",5,left-to-right,euwiki,wikipedia,eu,https://eu.wikipedia.org,Basque,Wikipedia,Basque Wikipedia
Malayalam Wikipedia,70,"399,677",67.9%,62.6%,3.4%,"1,187",337,87,11,27.9%,14,3.6%,"11,062",4.0%,8.0%,13.3%,8.0%,2.8%,0.95,0,"57,214","1,025,725",18,left-to-right,mlwiki,wikipedia,ml,https://ml.wikipedia.org,Malayalam,Wikipedia,Malayalam Wikipedia
Russian Wikisource,71,"981,547",54.7%,37.0%,0.0%,"10,084",97,34,6,6.1%,2,6.5%,"11,726",80.8%,1.0%,0.2%,1.1%,1.5%,0.96,0,"480,745","1,002,291",2,left-to-right,ruwikisource,wikisource,ru,https://ru.wikisource.org,Russian,Wikisource,Russian Wikisource
Italian Wikiquote,72,"921,953",69.4%,59.5%,0.0%,"7,042",131,35,6,15.7%,2,2.9%,"6,529",2.1%,4.5%,2.0%,12.4%,3.4%,0.96,0,"29,640","589,171",20,left-to-right,itwikiquote,wikiquote,it,https://it.wikiquote.org,Italian,Wikiquote,Italian Wikiquote
German Wikivoyage,73,"418,467",52.3%,36.3%,0.0%,"2,558",164,50,8,6.8%,6,5.5%,"6,514",0.3%,1.7%,5.0%,7.1%,1.9%,0.96,0,"16,305","705,979",43,left-to-right,dewikivoyage,wikivoyage,de,https://de.wikivoyage.org,German,Wikivoyage,German Wikivoyage
Macedonian Wikipedia,74,"363,919",48.0%,31.1%,0.3%,"1,850",197,54,9,6.7%,8,7.6%,"11,455",5.8%,1.0%,6.0%,2.6%,2.3%,0.97,0,"95,098","917,576",10,left-to-right,mkwiki,wikipedia,mk,https://mk.wikipedia.org,Macedonian,Wikipedia,Macedonian Wikipedia
Russian Wikiquote,75,"854,104",54.2%,42.9%,0.0%,"10,610",81,22,3,10.8%,2,3.0%,"1,214",0.6%,5.5%,1.6%,21.1%,6.8%,0.91,0,"12,093","221,944",18,left-to-right,ruwikiquote,wikiquote,ru,https://ru.wikiquote.org,Russian,Wikiquote,Russian Wikiquote
Telugu Wikipedia,76,"365,032",65.1%,57.1%,2.3%,"2,173",168,49,8,32.5%,8,3.7%,"19,762",1.0%,2.1%,13.6%,3.7%,1.1%,0.98,0,"69,292","1,352,564",20,left-to-right,tewiki,wikipedia,te,https://te.wikipedia.org,Telugu,Wikipedia,Telugu Wikipedia
Swedish Wiktionary,77,"713,927",60.8%,47.4%,0.0%,"9,394",76,24,7,11.4%,1,0.8%,"10,198",24.9%,2.6%,0.2%,29.6%,1.7%,0.98,0,"633,970","1,019,318",2,left-to-right,svwiktionary,wiktionary,sv,https://sv.wiktionary.org,Swedish,Wiktionary,Swedish Wiktionary
Greek Wiktionary,78,"1,275,447",57.7%,55.8%,0.0%,"25,215",51,14,3,29.5%,2,2.5%,"3,036",6.4%,20.0%,0.8%,37.6%,9.1%,0.97,0,"460,807","834,621",2,left-to-right,elwiktionary,wiktionary,el,https://el.wiktionary.org,Greek,Wiktionary,Greek Wiktionary
Wikimedia Incubator,79,"90,299",39.5%,18.0%,0.0%,234,385,177,17,11.2%,28,21.5%,"18,561",7.9%,10.1%,10.9%,2.9%,1.8%,0.90,0,"98,688","674,888",7,left-to-right,incubatorwiki,incubator,en,https://incubator.wikimedia.org,English,Wikimedia Incubator,Wikimedia Incubator
Spanish Wikibooks,80,"1,045,033",44.3%,40.2%,0.0%,"17,638",59,15,5,9.7%,4,0.4%,"1,504",1.8%,5.2%,4.1%,17.7%,12.8%,0.93,0,"7,919","208,796",26,left-to-right,eswikibooks,wikibooks,es,https://es.wikibooks.org,Spanish,Wikibooks,Spanish Wikibooks
Belarusian Wikipedia,81,"207,275",31.5%,10.4%,1.4%,897,231,73,10,4.0%,6,17.7%,"10,153",75.7%,1.9%,5.1%,4.9%,1.8%,0.96,0,"155,186","1,034,702",7,left-to-right,bewiki,wikipedia,be,https://be.wikipedia.org,Belarusian,Wikipedia,Belarusian Wikipedia
Italian Wiktionary,82,"1,215,844",63.1%,58.0%,0.0%,"20,406",60,12,3,21.5%,2,1.1%,"4,870",35.6%,3.2%,0.6%,28.7%,2.2%,0.98,0,"431,478","728,096",2,left-to-right,itwiktionary,wiktionary,it,https://it.wiktionary.org,Italian,Wiktionary,Italian Wiktionary
Norwegian Nynorsk Wikipedia,83,"429,491",46.9%,24.7%,0.3%,"2,964",145,32,7,5.3%,2,3.2%,"6,205",4.9%,1.4%,3.6%,7.7%,3.7%,0.97,0,"138,606","918,110",7,left-to-right,nnwiki,wikipedia,nn,https://nn.wikipedia.org,Norwegian Nynorsk,Wikipedia,Norwegian Nynorsk Wikipedia
Afrikaans Wikipedia,84,"416,172",58.0%,35.0%,0.4%,"3,041",137,33,7,11.1%,3,2.9%,"7,601",21.9%,1.4%,5.9%,3.3%,2.4%,0.97,0,"50,241","726,607",14,left-to-right,afwiki,wikipedia,af,https://af.wikipedia.org,Afrikaans,Wikipedia,Afrikaans Wikipedia
Wikispecies,85,"242,715",42.5%,19.9%,0.0%,"1,315",185,56,16,4.8%,3,1.3%,"27,795",18.2%,0.2%,0.1%,1.6%,1.4%,0.97,3,"586,908","2,501,362",4,left-to-right,specieswiki,species,en,https://species.wikimedia.org,English,Wikispecies,Wikispecies
